author|0|body_xml
iabbliz|2013/08/26 12:26:37|Привет
iabbliz|2013/08/26 12:26:39|скоро=)
duke-81|2013/08/26 12:26:44|ты работаешь в БПЛ по тимвьюверу?
iabbliz|2013/08/26 12:26:47|да
duke-81|2013/08/26 12:26:52|да мне надо то ДТ получить
duke-81|2013/08/26 12:26:58|я бы больше не мешал)
iabbliz|2013/08/26 12:27:02|какой базы?
duke-81|2013/08/26 12:28:00|ERP_test_1
duke-81|2013/08/26 12:28:02|как то так
duke-81|2013/08/26 12:28:30|&quot;База для ввода МД и ТД&quot;
duke-81|2013/08/26 12:28:35|или &quot;База прототип&quot;
duke-81|2013/08/26 12:28:42|Самир сам точно не помнит
iabbliz|2013/08/26 12:29:01|там где Михаил кривдюк тестит?
duke-81|2013/08/26 12:31:53|другая
iabbliz|2013/08/26 12:32:38|2 мин, и пущу
iabbliz|2013/08/26 12:34:13|давай заходи,
iabbliz|2013/08/26 12:34:23|напиши когда можно будет продолжить
duke-81|2013/08/26 12:37:45|ок
duke-81|2013/08/26 12:42:38|еще не всё)
iabbliz|2013/08/26 12:53:23|уже можно?
